date,open,high,low,close,volume,申万一级,债券代码,债券简称,symbol
2022-10-12,114.56,115.59,114.56,115.428,26210,纺织服饰,113638,台21转债,sh113638
2022-10-13,115.19,116.3,115.022,116.198,30950,纺织服饰,113638,台21转债,sh113638
2022-10-14,115.59,117.38,115.59,117.075,225520,纺织服饰,113638,台21转债,sh113638
2022-10-17,116.39,117.649,116.0,117.554,45390,纺织服饰,113638,台21转债,sh113638
2022-10-18,117.601,117.663,116.69,117.092,65560,纺织服饰,113638,台21转债,sh113638
2022-10-19,117.0,117.19,114.68,115.405,72440,纺织服饰,113638,台21转债,sh113638
2022-10-20,115.39,115.39,113.304,113.73,59130,纺织服饰,113638,台21转债,sh113638
2022-10-21,114.265,114.878,113.557,114.87,55000,纺织服饰,113638,台21转债,sh113638
2022-10-24,114.99,115.6,114.063,114.241,80550,纺织服饰,113638,台21转债,sh113638
2022-10-25,113.856,114.59,113.81,113.862,28900,纺织服饰,113638,台21转债,sh113638
2022-10-26,113.929,114.777,113.8,114.41,24100,纺织服饰,113638,台21转债,sh113638
2022-10-27,114.551,114.952,113.413,113.689,61330,纺织服饰,113638,台21转债,sh113638
2022-10-28,113.456,113.683,113.107,113.416,44480,纺织服饰,113638,台21转债,sh113638
2022-10-31,113.001,114.48,113.0,113.878,40330,纺织服饰,113638,台21转债,sh113638
2022-11-01,114.668,114.7,113.501,113.819,53190,纺织服饰,113638,台21转债,sh113638
2022-11-02,113.7,114.426,113.7,114.202,59490,纺织服饰,113638,台21转债,sh113638
2022-11-03,113.929,114.2,113.512,114.039,100410,纺织服饰,113638,台21转债,sh113638
2022-11-04,113.551,116.23,113.551,115.146,346040,纺织服饰,113638,台21转债,sh113638
2022-11-07,115.5,115.792,114.383,114.696,98590,纺织服饰,113638,台21转债,sh113638
2022-11-08,114.572,114.995,113.81,114.676,85840,纺织服饰,113638,台21转债,sh113638
2022-11-09,114.4,114.74,113.865,114.35,64320,纺织服饰,113638,台21转债,sh113638
2022-11-10,114.241,114.3,113.6,113.924,43330,纺织服饰,113638,台21转债,sh113638
2022-11-11,114.494,114.89,113.844,114.433,126330,纺织服饰,113638,台21转债,sh113638
2022-11-14,114.433,115.18,113.745,114.673,212880,纺织服饰,113638,台21转债,sh113638
2022-11-15,114.827,115.125,114.288,114.564,91260,纺织服饰,113638,台21转债,sh113638
2022-11-16,114.4,114.643,113.3,113.329,80970,纺织服饰,113638,台21转债,sh113638
2022-11-17,113.51,113.51,109.729,112.103,268500,纺织服饰,113638,台21转债,sh113638
2022-11-18,112.103,112.619,111.492,112.221,98920,纺织服饰,113638,台21转债,sh113638
2022-11-21,112.0,112.27,111.37,112.008,47750,纺织服饰,113638,台21转债,sh113638
2022-11-22,112.008,112.099,111.062,111.6,15300,纺织服饰,113638,台21转债,sh113638
2022-11-23,111.854,113.0,111.0,111.399,29020,纺织服饰,113638,台21转债,sh113638
2022-11-24,111.564,111.851,111.2,111.59,15410,纺织服饰,113638,台21转债,sh113638
2022-11-25,111.723,111.946,111.076,111.613,38280,纺织服饰,113638,台21转债,sh113638
2022-11-28,111.55,112.95,110.79,111.702,138580,纺织服饰,113638,台21转债,sh113638
2022-11-29,111.702,113.119,111.5,112.518,157260,纺织服饰,113638,台21转债,sh113638
2022-11-30,112.99,113.71,112.132,113.618,64910,纺织服饰,113638,台21转债,sh113638
2022-12-01,113.603,117.806,113.506,115.75,1087920,纺织服饰,113638,台21转债,sh113638
2022-12-02,115.111,116.566,114.888,115.611,471860,纺织服饰,113638,台21转债,sh113638
2022-12-05,115.388,116.405,115.1,115.547,162480,纺织服饰,113638,台21转债,sh113638
2022-12-06,115.5,117.51,115.312,116.003,226250,纺织服饰,113638,台21转债,sh113638
2022-12-07,116.58,117.865,115.898,116.72,331950,纺织服饰,113638,台21转债,sh113638
2022-12-08,116.72,117.437,115.3,115.5,108240,纺织服饰,113638,台21转债,sh113638
2022-12-09,115.8,117.6,115.12,115.398,140380,纺织服饰,113638,台21转债,sh113638
2022-12-12,115.398,115.681,114.389,114.506,45160,纺织服饰,113638,台21转债,sh113638
2022-12-13,114.8,115.26,113.7,113.941,109700,纺织服饰,113638,台21转债,sh113638
2022-12-14,114.21,114.45,113.015,113.151,39570,纺织服饰,113638,台21转债,sh113638
2022-12-15,113.0,114.17,112.932,113.993,51020,纺织服饰,113638,台21转债,sh113638
2022-12-16,114.0,114.22,112.001,112.507,96330,纺织服饰,113638,台21转债,sh113638
2022-12-19,112.496,113.6,110.802,110.841,69430,纺织服饰,113638,台21转债,sh113638
2022-12-20,110.9,115.3,110.769,111.115,333190,纺织服饰,113638,台21转债,sh113638
2022-12-21,111.115,112.867,110.8,112.214,144300,纺织服饰,113638,台21转债,sh113638
2022-12-22,112.214,113.65,112.019,112.976,112470,纺织服饰,113638,台21转债,sh113638
2022-12-23,112.004,112.892,111.464,111.955,67030,纺织服饰,113638,台21转债,sh113638
2022-12-26,112.179,112.571,111.55,111.643,32170,纺织服饰,113638,台21转债,sh113638
2022-12-27,112.003,112.439,111.492,111.839,39310,纺织服饰,113638,台21转债,sh113638
2022-12-28,112.1,112.42,111.1,112.042,169710,纺织服饰,113638,台21转债,sh113638
2022-12-29,111.604,111.87,109.897,110.046,55100,纺织服饰,113638,台21转债,sh113638
2022-12-30,110.1,110.25,109.58,109.605,42040,纺织服饰,113638,台21转债,sh113638
2023-01-03,109.8,109.8,108.824,109.78,75530,纺织服饰,113638,台21转债,sh113638
2023-01-04,109.891,111.579,109.597,111.148,71690,纺织服饰,113638,台21转债,sh113638
2023-01-05,111.538,112.53,111.081,112.261,33970,纺织服饰,113638,台21转债,sh113638
2023-01-06,111.991,113.86,111.983,113.565,89970,纺织服饰,113638,台21转债,sh113638
2023-01-09,113.807,114.436,112.902,113.004,239230,纺织服饰,113638,台21转债,sh113638
2023-01-10,113.2,113.428,112.479,113.201,46800,纺织服饰,113638,台21转债,sh113638
2023-01-11,113.141,114.58,113.033,113.648,68120,纺织服饰,113638,台21转债,sh113638
2023-01-12,113.674,114.107,112.826,113.309,67080,纺织服饰,113638,台21转债,sh113638
2023-01-13,113.14,114.06,113.098,113.886,37700,纺织服饰,113638,台21转债,sh113638
2023-01-16,113.886,119.97,113.711,117.479,1248640,纺织服饰,113638,台21转债,sh113638
2023-01-17,117.48,123.699,114.0,117.58,1818600,纺织服饰,113638,台21转债,sh113638
2023-01-18,117.8,119.38,117.2,118.625,542130,纺织服饰,113638,台21转债,sh113638
2023-01-19,119.2,119.626,117.734,118.839,371290,纺织服饰,113638,台21转债,sh113638
2023-01-20,119.0,119.24,118.2,118.54,124750,纺织服饰,113638,台21转债,sh113638
2023-01-30,119.006,119.54,118.65,118.978,66520,纺织服饰,113638,台21转债,sh113638
2023-01-31,118.925,119.371,117.46,117.703,215200,纺织服饰,113638,台21转债,sh113638
2023-02-01,118.078,119.08,117.82,118.791,217300,纺织服饰,113638,台21转债,sh113638
2023-02-02,118.9,119.99,118.681,119.54,237770,纺织服饰,113638,台21转债,sh113638
2023-02-03,119.676,120.68,118.5,118.923,615460,纺织服饰,113638,台21转债,sh113638
2023-02-06,119.3,119.755,117.58,119.055,435540,纺织服饰,113638,台21转债,sh113638
